,id,comment
0,  염토,Xs쓰다가 13pro로 갈아타는데 사진을 많이 찍는 편이라 pro 예약했는데 역시 잘한 것 같아요ㅋㅋ 잇섭님 영상은 다른 유튜버들에 비해 빠른 업로딩은 아니지만 확신을 준다고 해야하나ㅎㅎ 아무튼 잘 보고 이씀다!!
1,  꽃게탕,영상보고 xr에서 13으로 갈아탔습니다 ㅜ4일차 후기라치면.. 그래도 요번엔 기본 용량이 128GB부터여서 나름 만족하면서 사용하고 있고 디자인이 이뻐서 마음에 듭니다… 진짜 그냥 일반 유저시면 13도 충분할듯!
2,  작살Jaksal,잇섭님은 진짜 어려운말도 쉽게 설명해주고 가려운부분 잘 긁어줘서 너무 보기 편합니다
3,  소록,갤럭시와 아이폰의120Hz 차이가 궁금했는데 어디에도 언급이 없어서 아쉬워했는데 역시 믿고보는 잇섭님 영상!
4,  귤탱이,승승장구 하는 잇섭님 깔끔한 비교 적절한 추천 감사합니다 . 예민하지 않아서 일반써도 되지만 아이들 조금이나마 좋은 사진으로 추억담아주고싶어서 프로로 샀어요~독립하시면서 lg oled 구매하셨을때부터 쭈욱 영상 봐왔답니다.!! 유튜브 열심히 하는 청년에서 이제는 스타 느낌이 느껴지네요~~ 화이팅
5,  세렌드림,XS에서 13 프로맥스로 넘어갔는데  진짜 5:45 부분 같은 심정이었다가  XS에서 카메라 비교해보려고 다시 만져봤더니 역체감이 어우 ㅎㄷ하더라구요원래 괜찮은 성능의 폰이었는데  한 순간에 버벅이는 폰으로 만들어버린 13 클라스 ㄷ
6,  부지성,잇섭님 드디어 13프로 영상을 올리셨네요 항상 영상의 퀄리티를 중시하시고 시청자 분들에게 좀더 좋은 영상을 올려주시려고 노력하시는 것 잘 느껴져요 앞으로도 항상 열심히 재미있는 영상 올려주세요!!!
7,  SE P,다른 유튜버들 리뷰 영상 보고 13살까 하다가 확실히 잇선생님 영상에서 디테일 하게 따져보니 갈아탈 필요가 없음을 느꼈습니다. 덕분에 백 삼십만원을 아꼈습니다. 감사한 마음을 담아 좋아요 백번을 눌렀습니다. 행복한 하루 되세요~
8,  r2jay .G,진짜 색상땜에 프로 샀습니다. 블루 너무 이뻐요. 해외살아서 일찍 받아서 2주 넘게 썼는데.. 너무 좋네요. 아이폰 10에서 오렛만에 폰을 사서인지 기술력 발전이 좀 더 크게 느껴졌습니다.
9,  신디제잉,전자기기를 주 컨텐츠로 영상을 제작하시는 유튜버분들 중에는 잇섭님이 최고임.잇섭님 영상보고 아이폰13 구매하는데 많은 도움을 받음.
10,  줄리아의생존일기 Julia's Survival Diary,와 중간에 예시영상이랑 사진들 정말 잘 찍으셨네요!👍 개인적으로는 13프로의 시에라블루보다는 일반 13 블루 색깔이 더 이쁘더라구요 ^^
11,  flex ag,"평생 갤럭시 유저로 애플 갬성 한번 느껴보고 싶어 갈아타볼까 고민중인데 사양,카메라 다 떠나서 애플 환경에 과연 적응을 할수 있을까란 고민이 가장 크네요..ㅠ"
12,  용재 최,"아이폰13프로 시리즈 12프로 시리즈랑 비교해서 칩셋,카메라,배터리 등 성능이 올라갔고 그중에서 가장 크게 와닿을 것 같은 120hz promotion 주사율은 10hz부터 120hz까지 실시간으로 조절해 주므로서 배터리도 아끼고 일석이조 인것 같습니다. 그럼에도 가격은 동결이라 여로모로 좋았는데 카메라가 비약적으로 좋아진 만큼 케이스를 껴도 카툭튀가 커버 안될정도로 심해진건 좀 아쉬운 부분인 것 같습니다."
13,  돼끼겸댕이,"아이패드 구경 갔다가 13 봤는데 미니가 가벼워서 좋더라고요.텐알 아직도 멀쩡해서 바꿀 맘 없지만, 13맥스 무겹고 너무 크고~13이 6s처럼 작아서 손에 쏙 들어오고 좋았어요^^"
14,  박재우,항상 느끼는건데 잇섭님은 테크유튜버인지라 영상 화질이랑 화면비율이 최고수준이네요
15,  Doe G John,"5년동안 버텨주던 엘지폰이 슬슬 수명이 다 되어 가는 와중에 요새는 참 고민이 깊네요.삼성으로 가려고 하니, 여러 문제점들이 자꾸 대두되고..애플로 가자니 익숙하지 않아서 문제고..13프로와 S21+사이에서 고민이 되네요. 차라리 좀 더 기다렸다가 S22 출시 소식을 보고 고를까 싶기도 하고.근데 요즘 삼성 행보가 영 마음에 안 들어서 참.. 엘지가 좀 더 버텨줬으면 좋았을 텐데."
16,  ilill 1i,고민하다가 잇섭님 영상보고 8+에서 13으로 바꿨어요~~ 8플 200그램 넘어서 항상 손목 아팠는데 드디어 가벼운 폰으로 바꿨네요!! 4년만에 폰바꾸는거라 엄청 좋게 느껴질 듯 하네용 홈버튼 없는거 적응이 제일 걱정이예요ㅋㅋㅋㅋ
17,  김뽀끼,13이랑 13프로 비교 이렇게 자세하게 하는 영상기다렸어요!!!ㅠㅠㅠ 핑크 때문에 13 주문했는데 성능차이 때문에 프로로 바꿀까 고민 중에 큰 도움이 되었습니다. 감사합니다!!
